GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_
"TRAVESSA MALVA PAVAO , 72,SAO PAULO, SAO PAULO - BRASIL","252069459054000027","252","069","459054","00","0027",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,79.00,TRAVESSA MALVA PAVAO,"72",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6324914","-46,4578995"
"TRAVESSA MALVA PAVAO , 88,SAO PAULO, SAO PAULO - BRASIL","252069459054000023","252","069","459054","00","0023",SM,SRA,"2",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",170.00,103.00,TRAVESSA MALVA PAVAO,"88",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6326277","-46,4579041"
"TRAVESSA MALVA PAVAO, 72,SAO PAULO, SAO PAULO - BRASIL","252069459054000029","252","069","459054","00","0029",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",110.00,72.00,TRAVESSA MALVA PAVAO,"72",D,0.00,0.00,,U,,,LOTE COM NUMERO APROXIMADO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6324914","-46,4578995"
"TRAVESSA MALVA PAVAO , 40,SAO PAULO, SAO PAULO - BRASIL","252069459054000035","252","069","459054","00","0035",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",110.00,71.00,TRAVESSA MALVA PAVAO,"40",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6322431","-46,4578666"
"TRAVESSA MALVA PAVAO, 72,SAO PAULO, SAO PAULO - BRASIL","252069459054000028","252","069","459054","00","0028",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",65.00,73.00,TRAVESSA MALVA PAVAO,"72",D,0.00,0.00,,U,,,LOTE COM NUMERO APROXIMADO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6324914","-46,4578995"
"TRAVESSA MALVA PAVAO, 52,SAO PAULO, SAO PAULO - BRASIL","252069459054000032","252","069","459054","00","0032",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,76.00,TRAVESSA MALVA PAVAO,"52",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6323572","-46,4577873"
"TRAVESSA MALVA PAVAO, 48, SAO PAULO, SAO PAULO - BRASIL","252069459054000033","252","069","459054","00","0033",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,72.00,TRAVESSA MALVA PAVAO,"48",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6323334","-46,4577821"
"TRAVESSA MALVA PAVAO, 151, SAO PAULO, SAO PAULO - BRASIL","252064459054000006","252","064","459054","00","0006",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",85.00,71.00,TRAVESSA MALVA PAVAO,"151",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6332595","-46,4579129"
"TRAVESSA MALVA PAVAO, 161, SAO PAULO, SAO PAULO - BRASIL","252064459054000009","252","064","459054","00","0009",SM,SRA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",130.00,103.00,TRAVESSA MALVA PAVAO,"161",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6333709","-46,4579041"
"TRAVESSA MALVA PAVAO, 131, SAO PAULO, SAO PAULO - BRASIL","252064459054000001","252","064","459054","00","0001",SM,SRA,"2",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,105.00,TRAVESSA MALVA PAVAO,"131",D,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,TERCEIRO QUADRIMESTR,"2021","-23,6330131","-46,4579473"
