GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND 
"RUA RABELO DA CRUZ, 413, SAO PAULO, SAO PAULO,  - BRASIL","067338167827020000","067","338","167827","02","0000",ST,TUC,"1",S,S,ZM,"0",,,"0","0",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,217.00,RUA RABELO DA CRUZ,"413",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,475359","-46,5908122","1"
"RUA DR MARREI JUNIOR, 124, SAO PAULO, SAO PAULO,  - BRASIL","068015135720060000","068","015","135720","06","0000",ST,TUC,"3",S,S,ZEU,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,320.00,RUA DR MARREI JUNIOR,"124",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,488622","-46,6064753","1"
"RUA BALTAZAR DE MORAIS, 214, SAO PAULO, SAO PAULO,  - BRASIL","067163027561010000","067","163","027561","01","0000",ST,TUC,"1",S,S,ZM,"0",,,"0","0",S,,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,308.00,RUA BALTAZAR DE MORAIS,"214",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,476203","-46,5896285","1"
"RUA CATAPARA, 88, SAO PAULO, SAO PAULO,  - BRASIL","068049045942020000","068","049","045942","02","0000",MG,VGL,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,269.00,RUA CATAPARA,"88",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,5006215","-46,6082711","1"
"RUA XAPURI, 426, SAO PAULO, SAO PAULO,  - BRASIL","113082199753030000","113","082","199753","03","0000",PE,VMT,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,320.00,RUA XAPURI,"426",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,"1","2021","-23,5374181","-46,5006294","1"
"RUA ELISA RODRIGUES, 151, SAO PAULO, SAO PAULO,  - BRASIL","045029063460000080","045","029","063460","00","0080",VM,SAU,"1",S,S,ZER-1,"0",,L,"16402","2016",S,ZCOR-3,"0",,L,"16402","2016",QA,"4",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",330.00,380.00,RUA ELISA RODRIGUES,"151",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,6052017","-46,6501038","0"
"RUA JOHN SPEERS, 1777, SAO PAULO, SAO PAULO,  - BRASIL","233053359424000003","233","053","359424","00","0003",IQ,PQC,"1",S,S,ZPI-1,"0",,L,"16402","2016",S,QA,"2",,L,"16402","2016",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",159.00,300.00,RUA JOHN SPEERS,"1777",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5664192","-46,4573814","0"
"AV VALDEMAR FERREIRA, , SAO PAULO, SAO PAULO,  - BRASIL","200040198994000019","200","040","198994","00","0019",BT,BUT,"2",S,S,"99","0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2129.00,AV VALDEMAR FERREIRA,,R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5701878","-46,7059494","0"
"AV VALDEMAR FERREIRA, , SAO PAULO, SAO PAULO,  - BRASIL","200040198994000018","200","040","198994","00","0018",BT,BUT,"1",S,S,"99","0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2138.00,AV VALDEMAR FERREIRA,,R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5701878","-46,7059494","0"
"RUA ROMAO GOMES, , SAO PAULO, SAO PAULO,  - BRASIL","200040168521000015","200","040","168521","00","0015",BT,BUT,"2",S,S,"99","0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2150.00,RUA ROMAO GOMES,,R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5685175","-46,7057283","0"
