GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA OSCAR FREIRE, 1961, SAO PAULO, SAO PAULO - BRASIL","013007151149060000","013","007","151149","06","0000",PI,JDP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1800.00,RUA OSCAR FREIRE,"1961",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5556453","-46,6757966","1"
"RUA FREI CANECA, 236, SAO PAULO, SAO PAULO - BRASIL","010025041203060000","010","025","041203","06","0000",SE,CON,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,608.00,RUA FREI CANECA,"236",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5520362","-46,6500108","1"
"AVENIDA PAULISTA, 2408, SAO PAULO, SAO PAULO - BRASIL","010050156566060000","010","050","156566","06","0000",SE,CON,"2",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1000.00,AVENIDA PAULISTA,"2408",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5562269","-46,6618948","1"
"RUA NEBRASKA, 251, SAO PAULO, SAO PAULO - BRASIL","085116144550060000","085","116","144550","06","0000",PI,IBI,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1880.00,RUA NEBRASKA,"251",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,6117283","-46,6802296","1"
"RUA FRANCISCO CRUZ, 515, SAO PAULO, SAO PAULO - BRASIL","039080073830070000","039","080","073830","07","0000",VM,VMN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1666.00,RUA FRANCISCO CRUZ,"515",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,5895914","-46,6302213","1"
"RUA ARTUR DE AZEVEDO, 1231, SAO PAULO, SAO PAULO - BRASIL","015014023507090000","015","014","023507","09","0000",PI,PIN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1175.00,RUA ARTUR DE AZEVEDO,"1231",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5636358","-46,683058","1"
"RUA DA CONSOLACAO, 222, SAO PAULO, SAO PAULO - BRASIL","006064121320110000","006","064","121320","11","0000",SE,REP,,S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2619.00,RUA DA CONSOLACAO,"222",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5474291","-46,6433283","1"
"RUA DOUTOR VEIGA FILHO, 161, SAO PAULO, SAO PAULO - BRASIL","020095195235120000","020","095","195235","12","0000",SE,CON,"1",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1515.00,RUA DOUTOR VEIGA FILHO,"161",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5411995","-46,6574299","1"
"RUA TUTOIA, 815, SAO PAULO, SAO PAULO - BRASIL","036045192716140000","036","045","192716","14","0000",VM,VMN,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1524.00,RUA TUTOIA,"815",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,578156","-46,6508085","1"
"RUA MARQUES DE PARANAGUA, 190, SAO PAULO, SAO PAULO - BRASIL","010012154687210000","010","012","154687","21","0000",SE,CON,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2256.00,RUA MARQUES DE PARANAGUA,"190",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5504722","-46,650432","1"
