GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_M,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA ALFREDO BEZERRA DOS SANTOS, 9,
SAO PAULO, SAO PAULO - BRASIL","135092201472000032","135","092","2014","00","0032",IT,VCR,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,125.00,RUA ALFREDO BEZERRA DOS SANTOS,"9",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5219257","-46,4157595","0"
"AVENIDA TEODORO BERNARDO DO NASCIMENTO, 1041,
SAO PAULO, SAO PAULO - BRASIL","135144048267000056","135","144","0482","00","0056",IT,VCR,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",72.00,125.00,AVENIDA TEODORO BERNARDO DO NASCIMENTO,"1041",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5184862","-46,4105087","0"
"AVENIDA TEODORO BERNARDO DO NASCIMENTO, 1045,
SAO PAULO, SAO PAULO - BRASIL","135144048267000057","135","144","0482","00","0057",IT,VCR,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",176.00,222.00,AVENIDA TEODORO BERNARDO DO NASCIMENTO,"1045",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5184631","-46,4105188","0"
"RUA CARLO MANNELLI, 364,
SAO PAULO, SAO PAULO - BRASIL","138257269166000140","138","257","2691","00","0140",GU,LAJ,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",427.00,309.00,RUA CARLO MANNELLI,"364",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5224954","-46,4268882","0"
"RUA CORREIA DE GODOI, 193,
SAO PAULO, SAO PAULO - BRASIL","141048676799000266","141","048","6767","00","0266",IQ,ITQ,"1",S,S,ZC,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",200.00,210.00,RUA CORREIA DE GODOI,"193",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5353998","-46,4654998","0"
"RUA CORREIA DE GODOI, 199,
SAO PAULO, SAO PAULO - BRASIL","141048676799000267","141","048","6767","00","0267",IQ,ITQ,"1",S,S,ZC,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",209.00,210.00,RUA CORREIA DE GODOI,"199",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5353711","-46,4654606","0"
"RUA RIO IMBURANA, 60,
SAO PAULO, SAO PAULO - BRASIL","144017107395000023","144","017","1073","00","0023",IQ,ITQ,"2",S,S,ZEU,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",263.00,164.00,RUA RIO IMBURANA,"60",D,0.00,0.00,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5426515","-46,4455486","0"
"RUA BOTUPORA, 212,
SAO PAULO, SAO PAULO - BRASIL","144017015288000024","144","017","0152","00","0024",IQ,ITQ,"1",S,S,ZEU,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",120.00,120.00,RUA BOTUPORA,"212",D,0.00,0.00,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5426402","-46,4456982","0"
"AVENIDA INCONFIDENCIA MINEIRA, 484,
SAO PAULO, SAO PAULO - BRASIL","148142091340000038","148","142","0913","00","0038",AR,ALL,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",653.00,414.00,AVENIDA INCONFIDENCIA MINEIRA,"484",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5811838","-46,5181419","0"
"RUA PADRE PEDRO DE SOUZA TENORIO, 11,
SAO PAULO, SAO PAULO - BRASIL","148159159131000025","148","159","1591","00","0025",AR,ARI,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",76.00,200.00,RUA PADRE PEDRO DE SOUZA TENORIO,"11",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5833705","-46,5200159","0"
